"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014"
"29540","Lancaster, PA (Metropolitan Statistical Area)",37355,36419,36826,37749,37953,37996,38995
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",34368,33473,34582,34901,35115,35250,35916
"29700","Laredo, TX (Metropolitan Statistical Area)",27868,26523,27168,28309,28922,28801,29405
"29740","Las Cruces, NM (Metropolitan Statistical Area)",29598,30052,30283,30202,30466,29372,30312
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",39287,35732,35166,34888,36637,35767,36858
"29940","Lawrence, KS (Metropolitan Statistical Area)",35013,34455,33785,34254,34864,35146,35792
"30020","Lawton, OK (Metropolitan Statistical Area)",37907,38180,38587,38318,37526,37537,37723
"30140","Lebanon, PA (Metropolitan Statistical Area)",37299,37303,38098,38962,38852,39284,39791
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",36989,37232,37223,37826,37685,37848,38603
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",35288,35573,35263,35676,35499,34590,35274
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",40954,39145,39693,40869,41544,41223,42069
"30620","Lima, OH (Metropolitan Statistical Area)",36078,35913,35947,37025,37541,36717,37140
"30700","Lincoln, NE (Metropolitan Statistical Area)",41619,40631,40347,41547,42934,42582,42979
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",40975,40454,39848,40703,42228,40910,41512
"30860","Logan, UT-ID (Metropolitan Statistical Area)",29795,28767,29091,30165,30834,30380,31064
"30980","Longview, TX (Metropolitan Statistical Area)",43058,39719,39992,43424,42833,42414,43794
"31020","Longview, WA (Metropolitan Statistical Area)",34200,34667,34627,35304,36411,36473,37519
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",39094,37019,36698,37481,39386,38849,39927
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",42499,40865,41529,42152,43731,42256,43287
"31180","Lubbock, TX (Metropolitan Statistical Area)",34935,34153,34838,35210,36514,36506,36847
"31340","Lynchburg, VA (Metropolitan Statistical Area)",36541,36023,35855,36385,36926,36280,36756
"31420","Macon, GA (Metropolitan Statistical Area)",37282,37219,36807,38074,36974,37142,38164
"31460","Madera, CA (Metropolitan Statistical Area)",27528,25720,27378,28622,30081,31485,31423
"31540","Madison, WI (Metropolitan Statistical Area)",45560,44525,44247,45539,46467,46870,47021
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",43539,43203,43369,45179,46829,45813,47118
"31740","Manhattan, KS (Metropolitan Statistical Area)",39600,39810,40767,40715,38989,37757,38333
"31860","Mankato-North Mankato, MN (Metropolitan Statistical Area)",39958,37637,38582,41217,42099,42811,42640
"31900","Mansfield, OH (Metropolitan Statistical Area)",34132,33526,33451,34881,34805,35043,36108
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",25119,25381,25522,25548,25288,25133,25521
"32780","Medford, OR (Metropolitan Statistical Area)",35892,34225,33630,33758,34373,34127,35285
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",40911,39732,40197,40768,42026,41516,41989
"32900","Merced, CA (Metropolitan Statistical Area)",28737,27937,28354,30144,30242,31893,32635
"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",43197,39786,40709,41400,41962,41085,41916
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",37052,35692,36250,37528,38718,37978,38455
"33220","Midland, MI (Metropolitan Statistical Area)",46256,43613,43197,45960,45109,44972,45945
"33260","Midland, TX (Metropolitan Statistical Area)",75316,58593,65786,79000,87363,84294,87929
"33340","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",46303,45397,45099,46058,46665,45880,46691
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",46767,44039,44880,46408,47435,46618,47700
"33540","Missoula, MT (Metropolitan Statistical Area)",36336,36900,34711,36013,37603,36150,36897
"33660","Mobile, AL (Metropolitan Statistical Area)",35919,35098,35591,36170,35732,35609,36399
"33700","Modesto, CA (Metropolitan Statistical Area)",31348,30376,30811,31304,32352,32876,33889
"33740","Monroe, LA (Metropolitan Statistical Area)",38365,38416,37420,37659,38275,38299,38852
"33780","Monroe, MI (Metropolitan Statistical Area)",35965,34133,34574,35634,36321,36942,37904
"33860","Montgomery, AL (Metropolitan Statistical Area)",40595,39521,39512,39988,39683,39430,40222
"34060","Morgantown, WV (Metropolitan Statistical Area)",38548,38326,38543,39709,40159,39648,40028
"34100","Morristown, TN (Metropolitan Statistical Area)",34378,34293,34193,35606,34633,34595,35491
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",38126,37789,37022,37960,39342,39003,40509
"34620","Muncie, IN (Metropolitan Statistical Area)",31860,31216,31499,31673,32547,32024,32781
"34740","Muskegon, MI (Metropolitan Statistical Area)",31259,31189,31727,32635,32989,32886,34101
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",32836,32035,32181,32203,32511,32353,33243
"34900","Napa, CA (Metropolitan Statistical Area)",39887,38324,37509,38890,41488,41239,42252
"34940","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",68338,58424,61928,64550,69433,68118,68228
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",43510,42092,43314,44224,46254,45622,46460
"35100","New Bern, NC (Metropolitan Statistical Area)",43406,43324,42432,41596,41974,40480,41447
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",39004,38269,38474,39339,40036,39700,40960
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",44852,41575,42235,41911,43888,43517,44376
